  1 Northwest_Territories	300.75 187.34 251.01
  2 Greenland	310.58 201.14 283.63
  3 Norway	75.47 49.30 55.66
  4 Northwest_Territories	70.18 45.36 54.68
  5 USSR_Northwest	93.47 61.13 75.86
  6 USSR_East_Siberia	594.65 380.60 563.06
  7 Northwest_Territories	137.45 86.77 108.58
  8 Greenland	1630.16 1053.05 1557.93
  9 Northwest_Territories	288.77 181.42 255.57
 10 USSR_East_Siberia	197.88 126.21 180.76
 11 USSR_Northwest	94.32 61.13 84.56
 12 USSR_Ural	109.14 70.99 99.16
 13 USSR_Ural	116.39 74.94 107.51
 14 Alaska	93.80 61.13 91.95
 15 USSR_East_Siberia	825.29 526.52 809.43
 16 Alaska	122.94 78.88 114.27
 17 Alaska	121.81 78.88 119.32
 18 USSR_East_Siberia	218.92 140.01 218.84
 19 Greenland	343.68 220.86 308.70
 20 USSR_Northwest	109.21 69.02 99.22
 21 USSR_Far_East	173.63 110.43 169.21
 22 USSR_Northwest	65.86 41.41 62.60
 23 USSR_Northwest	98.26 63.10 91.82
 24 USSR_Ural	82.23 53.24 78.56
 25 Sweden	89.70 57.19 86.57
 26 USSR_Ural	384.72 246.50 376.53
 27 Northwest_Territories	247.35 159.73 222.55
 28 Sweden	87.32 55.22 77.67
 29 Finland	140.46 90.71 137.77
 30 USSR_Northwest	145.98 92.68 137.12
 31 USSR_East_Siberia	197.11 126.21 197.11
 32 Alaska	345.54 220.86 342.53
 33 Northwest_Territories	735.09 469.34 698.36
 34 Norway	84.47 53.24 76.87
 35 USSR_Far_East	1468.13 926.84 1442.02
 36 USSR_Far_East	109.09 70.99 98.09
 37 Alaska	63.11 39.44 55.82
 38 Yukon_Territory	417.85 266.22 412.96
 39 Northwest_Territories	665.58 427.92 577.21
 40 Iceland	104.81 67.05 93.06
 41 USSR_Northwest	76.00 49.30 73.76
 42 USSR_Northwest	205.26 130.15 205.26
 43 USSR_East_Siberia	187.50 120.29 187.50
 44 Northwest_Territories	219.99 140.01 219.99
 45 USSR_Northwest	97.55 61.13 93.33
 46 USSR_East_Siberia	577.21 366.79 573.32
 47 Northwest_Territories	433.68 276.08 426.78
 48 Northwest_Territories	106.45 67.05 106.45
 49 Sweden	97.06 61.13 93.36
 50 USSR_Far_East	245.21 155.79 230.97
 51 USSR_Northwest	121.64 76.91 121.64
 52 Norway	64.52 41.41 63.23
 53 USSR_Northwest	123.88 78.88 122.01
 54 USSR_Ural	256.93 161.70 254.69
 55 Finland	175.15 110.43 166.96
 56 USSR_Ural	124.49 78.88 124.49
 57 USSR_East_Siberia	215.21 138.04 215.21
 58 Alaska	60.24 39.44 49.79
 59 Quebec	95.97 61.13 88.92
 60 USSR_Ural	393.97 250.44 393.97
 61 USSR_Far_East	92.90 59.16 86.72
 62 Alaska	331.46 212.98 318.48
 63 Northwest_Territories	145.50 92.68 145.50
 64 Norway	127.61 80.85 113.94
 65 USSR_East_Siberia	101.93 65.08 101.93
 66 Alberta	99.64 63.10 99.64
 67 USSR_East_Siberia	331.58 212.98 331.58
 68 British_Columbia	120.18 76.91 120.18
 69 USSR_Ural	191.89 122.26 191.89
 70 USSR_East_Siberia	898.20 573.85 894.90
 71 Northwest_Territories	128.72 80.85 128.72
 72 Manitoba	190.83 120.29 190.18
 73 Quebec	124.71 78.88 122.00
 74 Norway	64.05 41.41 60.00
 75 Sweden	67.24 43.38 61.41
 76 USSR_Northwest	359.07 228.75 359.07
 77 USSR_Ural	82.75 53.24 82.75
 78 USSR_Ural	93.37 59.16 93.37
 79 USSR_Ural	70.36 45.36 70.36
 80 USSR_Ural	95.33 61.13 95.33
 81 USSR_West_Siberia	131.73 84.80 131.73
 82 USSR_East_Siberia	401.27 254.39 401.27
 83 Alaska	113.46 72.96 93.89
 84 USSR_East_Siberia	169.74 108.46 169.74
 85 USSR_Central	469.33 301.72 467.04
 86 British_Columbia	490.93 313.55 468.16
 87 Saskatchewan	163.64 104.52 163.64
 88 USSR_East_Siberia	147.30 94.66 147.30
 89 Alberta	89.22 57.19 89.22
 90 Alberta	65.17 41.41 65.17
 91 Manitoba	74.14 47.33 71.81
 92 Scotland	76.43 49.30 62.13
 93 Sweden	104.73 67.05 89.44
 94 USSR_Far_East	174.91 112.40 163.04
 95 Saskatchewan	89.28 57.19 89.28
 96 Alberta	92.76 59.16 92.76
 97 USSR_West	175.57 110.43 167.44
 98 Quebec	71.75 45.36 70.88
 99 Quebec	388.11 246.50 378.95
100 USSR_East_Siberia	174.91 110.43 174.91
101 Alberta	113.20 72.96 113.20
102 Manitoba	123.50 78.88 123.50
103 USSR_East_Siberia	644.15 410.18 644.15
104 Ontario	239.79 151.84 228.55
105 USSR_East_Siberia	194.11 124.24 194.11
106 USSR_East_Siberia	66.90 43.38 66.90
107 Saskatchewan	215.97 138.04 215.97
108 Newfoundland	213.80 136.07 192.27
109 England_Wales	80.92 51.27 76.12
110 USSR_Byelarus	131.19 82.82 129.22
111 USSR_Byelarus	113.84 72.96 113.84
112 USSR_Ural	714.37 457.50 714.37
113 USSR_West_Siberia	557.84 354.96 557.84
114 USSR_East_Siberia	132.05 84.80 132.05
115 British_Columbia	484.18 307.63 467.03
116 Manitoba	99.56 63.10 99.56
117 Poland	71.94 45.36 68.21
118 USSR_Far_East	216.44 136.07 216.44
119 British_Columbia	115.02 72.96 115.02
120 Quebec	162.26 102.54 160.03
121 Ireland	95.87 61.13 79.56
122 Newfoundland	104.90 67.05 95.52
123 Germany	207.58 132.12 194.83
124 Poland	91.62 59.16 87.14
125 USSR_Central_Chernozem	151.38 96.63 151.38
126 USSR_Far_East	88.35 55.22 81.42
127 Ontario	68.94 43.38 68.94
128 Ontario	116.84 74.94 115.70
129 Quebec	81.89 51.27 80.69
130 USSR_Central_Chernozem	96.81 61.13 96.81
131 Russian_Turkestan	374.73 238.61 374.73
132 USSR_East_Siberia	384.24 244.53 384.24
133 Saskatchewan	165.80 104.52 165.80
134 Quebec	88.77 57.19 85.35
135 USSR_Volga	168.18 108.46 168.18
136 Russian_Turkestan	1021.18 650.76 1021.18
137 USSR_East_Siberia	208.60 132.12 208.60
138 USSR_East_Siberia	99.83 63.10 99.83
139 Neimenggu	135.36 86.77 135.36
140 Alberta	124.38 78.88 124.38
141 Manitoba	245.99 155.79 245.99
142 Quebec	70.91 45.36 67.91
143 Poland	177.92 114.38 177.92
144 British_Columbia	78.39 49.30 60.89
145 Quebec	93.06 59.16 92.44
146 USSR_West_Siberia	93.13 59.16 93.13
147 Germany	169.37 106.49 169.37
148 USSR_Southwest	398.68 252.42 398.68
149 Russian_Turkestan	340.26 216.92 340.26
150 Heilongjiang	126.82 80.85 126.82
151 USSR_Far_East	356.37 228.75 324.71
152 Ontario	131.97 82.82 131.97
153 British_Columbia	59.19 37.47 59.19
154 Ontario	149.04 94.66 149.04
155 Quebec	72.88 45.36 72.88
156 Newfoundland	116.88 74.94 96.46
157 Germany	163.09 102.54 162.99
158 Heilongjiang	245.11 155.79 245.11
159 France	470.38 299.74 445.93
160 North_Dakota	85.59 55.22 85.59
161 Minnesota	104.22 67.05 104.22
162 Quebec	243.62 155.79 239.69
163 New_Brunswick	110.48 70.99 99.57
164 USSR_Donetsk_Dnepr	228.35 143.96 217.02
165 Russian_Turkestan	67.07 43.38 67.07
166 Mongolia	187.11 118.32 187.11
167 Mongolia	418.07 266.22 418.07
168 USSR_Far_East	119.47 76.91 117.60
169 Ontario	65.72 41.41 65.72
170 France	88.57 57.19 77.40
171 Hungary	93.72 59.16 93.18
172 Russian_Turkestan	108.21 69.02 105.78
173 Russian_Turkestan	115.07 72.96 115.07
174 Mongolia	88.69 57.19 88.69
175 Ciscaucasia	182.57 116.35 168.85
176 Russian_Turkestan	65.56 41.41 65.56
177 Neimenggu	533.44 341.16 533.44
178 Italy	68.08 43.38 66.82
179 Hungary	81.18 51.27 81.18
180 Russian_Turkestan	189.49 120.29 189.49
181 Montana	847.99 540.33 847.99
182 Wisconsin	72.95 45.36 72.95
183 Nova_Scotia	95.55 61.13 69.28
184 Romania	137.25 86.77 137.25
185 Romania	102.93 65.08 99.90
186 Ciscaucasia	124.15 78.88 120.45
187 Russian_Turkestan	88.12 55.22 88.12
188 Mongolia	87.84 55.22 87.84
189 Washington	212.25 136.07 206.50
190 Montana	187.96 120.29 187.96
191 Maine	113.12 72.96 107.54
192 Russian_Turkestan	230.27 145.93 226.89
193 Russian_Turkestan	128.52 80.85 128.52
194 Xinjiang	214.49 136.07 214.49
195 Mongolia	198.59 126.21 198.59
196 Heilongjiang	528.50 337.21 516.15
197 Ontario	122.07 76.91 122.07
198 New_York	119.81 76.91 117.49
199 Yugoslavia	76.63 49.30 69.79
200 Ciscaucasia	155.73 98.60 150.94
201 Japan	87.77 55.22 72.34
202 Minnesota	227.88 143.96 227.88
203 Italy	72.16 45.36 68.99
204 Mongolia	83.60 53.24 83.60
205 Mongolia	129.40 82.82 129.40
206 Oregon	226.35 143.96 226.35
207 Russian_Turkestan	216.03 138.04 216.03
208 Russian_Turkestan	118.23 74.94 118.23
209 Russian_Turkestan	73.86 47.33 73.86
210 Spain	219.69 140.01 210.44
211 Yugoslavia	78.19 49.30 78.00
212 Bulgaria	97.61 61.13 95.39
213 Xinjiang	94.50 59.16 94.50
214 Mongolia	245.36 155.79 245.36
215 Michigan	143.91 92.68 143.91
216 Italy	192.80 122.26 162.51
217 Yugoslavia	122.49 76.91 121.12
218 Jilin	88.14 55.22 88.14
219 South_Dakota	212.74 136.07 212.74
220 Spain	75.68 47.33 68.46
221 Russian_Turkestan	408.32 260.30 392.74
222 Xinjiang	68.43 43.38 68.43
223 Neimenggu	284.64 181.42 284.64
224 Iowa	153.39 98.60 153.39
225 Illinois	279.77 177.48 279.77
226 New_York	121.35 76.91 121.35
227 Xinjiang	59.95 37.47 59.95
228 New_York	73.87 47.33 64.23
229 Spain	108.04 69.02 105.35
230 Russian_Turkestan	80.26 51.27 80.26
231 Gansu	162.16 102.54 162.16
232 Liaoning	159.28 100.57 153.51
233 Utah	248.05 157.76 248.05
234 Nebraska	177.33 112.40 177.33
235 Ohio	160.60 102.54 160.60
236 Albania	72.60 45.36 71.28
237 Russian_Turkestan	166.95 106.49 166.95
238 Russian_Turkestan	70.02 45.36 70.02
239 Neimenggu	355.54 226.78 355.54
240 Nevada	273.66 173.54 273.66
241 Turkey-in-Asia	274.68 175.51 272.11
242 Xinjiang	193.81 124.24 193.81
243 Turkey-in-Asia	370.06 234.67 361.21
244 Russian_Turkestan	97.83 61.13 97.83
245 Xinjiang	537.51 341.16 537.51
246 Hebei	97.30 61.13 93.59
247 Utah	79.11 49.30 79.11
248 California	76.93 49.30 69.47
249 Colorado	77.49 49.30 77.49
250 Kansas	77.32 49.30 77.32
251 Portugal	137.15 86.77 130.36
252 Spain	93.98 59.16 93.98
253 Greece	79.78 51.27 60.50
254 Turkey-in-Asia	113.71 72.96 97.85
255 Japan	96.87 61.13 87.34
256 Turkey-in-Asia	71.30 45.36 68.87
257 Turkey-in-Asia	103.20 65.08 103.20
258 Russian_Turkestan	149.14 94.66 149.14
259 Xinjiang	165.06 104.52 165.06
260 Qinghai	70.73 45.36 70.73
261 Qinghai	99.74 63.10 99.74
262 Shandong	138.33 88.74 133.46
263 Spain	78.86 49.30 65.76
264 Iran	173.96 110.43 167.50
265 Russian_Turkestan	230.52 147.90 227.31
266 Texas	79.43 51.27 79.43
267 Shanxi	441.67 280.02 441.67
268 California	72.35 45.36 67.89
269 Arizona	157.14 100.57 157.14
270 Oklahoma	74.78 47.33 74.78
271 Missouri	640.12 408.20 627.09
272 Syria_Lebanon	73.28 47.33 61.69
273 Iran	77.37 49.30 74.28
274 Russian_Turkestan	78.59 49.30 78.59
275 Qinghai	91.51 57.19 91.51
276 Korea	123.97 78.88 111.70
277 Oklahoma	80.67 51.27 80.67
278 Algeria	115.05 72.96 105.84
279 Syria_Lebanon	137.90 86.77 137.90
280 Afghanistan	113.97 72.96 113.97
281 Afghanistan	106.12 67.05 106.12
282 Qinghai	74.94 47.33 74.94
283 New_Mexico	87.72 55.22 87.72
284 Tennessee	85.61 55.22 85.61
285 North_Carolina	60.54 39.44 60.54
286 North_Carolina	65.68 41.41 57.22
287 Tennessee	68.13 43.38 68.13
288 Iran	84.28 53.24 84.28
289 Japan	98.19 63.10 85.73
290 California	70.89 45.36 69.47
291 New_Mexico	107.65 69.02 107.65
292 New_Mexico	76.66 49.30 76.66
293 Arkansas	165.76 104.52 165.76
294 Algeria	76.29 49.30 75.60
295 Afghanistan	117.15 74.94 117.15
296 Afghanistan	71.18 45.36 71.18
297 Pakistan_India_Bangladesh	104.19 67.05 104.19
298 Sichuan	82.49 53.24 82.49
299 Shaanxi	71.62 45.36 71.62
300 Henan	124.55 78.88 124.55
301 Shandong	71.39 45.36 71.39
302 California	81.01 51.27 81.01
303 Morocco	113.35 72.96 105.81
304 Algeria	109.09 69.02 102.85
305 Algeria	141.23 90.71 140.05
306 Iraq	79.30 51.27 79.30
307 Iran	69.40 43.38 69.40
308 Iran	93.52 59.16 93.52
309 Pakistan_India_Bangladesh	106.25 67.05 106.25
310 Xizang	1547.38 984.03 1547.38
311 Henan	89.95 57.19 89.95
312 Jiangsu	85.09 53.24 80.17
313 Japan	115.97 72.96 91.36
314 Alabama	232.30 147.90 231.07
315 Morocco	82.92 53.24 82.92
316 Syria_Lebanon	72.39 45.36 72.39
317 Iraq	120.79 76.91 120.79
318 Pakistan_India_Bangladesh	88.11 55.22 88.11
319 Aridoamerica	73.38 47.33 66.75
320 Arizona	124.90 78.88 123.51
321 Texas	134.90 86.77 134.90
322 Iran	466.57 297.77 466.57
323 Sichuan	112.51 70.99 112.51
324 Texas	88.49 57.19 88.49
325 Xizang	59.85 37.47 59.85
326 Sichuan	96.38 61.13 96.38
327 Arizona	75.70 47.33 75.70
328 Morocco	94.81 61.13 90.72
329 Afghanistan	133.21 84.80 133.21
330 Anhui	99.97 63.10 99.97
331 Afghanistan	65.88 41.41 65.88
332 Texas	110.79 70.99 110.79
333 Algeria	233.05 147.90 233.05
334 Aridoamerica	173.03 110.43 166.17
335 Aridoamerica	93.10 59.16 93.10
336 Texas	87.79 55.22 85.23
337 Iran	66.71 41.41 66.71
338 Pakistan_India_Bangladesh	92.87 59.16 92.87
339 Xizang	69.38 43.38 69.38
340 Xizang	85.77 55.22 85.77
341 Hubei	145.69 92.68 145.69
342 Xizang	96.67 61.13 96.67
343 Libya	535.64 341.16 513.46
344 Saudi_Arabia	689.95 439.76 682.60
345 Iran	67.01 43.38 67.01
346 Afghanistan	75.01 47.33 75.01
347 Pakistan_India_Bangladesh	123.41 78.88 123.41
348 Sichuan	110.45 70.99 110.45
349 Zhejiang	187.52 120.29 177.19
350 Aridoamerica	72.90 47.33 72.90
