  1 Northwest_Territories	300.75 187.34 251.01
351 Florida	490.76 311.58 460.52
352 Algeria	477.84 303.69 477.84
353 Pakistan_India_Bangladesh	73.43 47.33 73.43
354 Hunan	360.27 230.72 360.27
355 Pakistan_India_Bangladesh	78.75 49.30 78.75
356 Pakistan_India_Bangladesh	65.39 41.41 65.39
357 Aridoamerica	81.91 51.27 81.91
358 Egypt	731.62 465.39 715.16
359 Jiangxi	114.93 72.96 114.93
360 Aridoamerica	116.03 72.96 91.82
361 Pakistan_India_Bangladesh	117.25 74.94 117.25
362 Sichuan	138.72 88.74 138.72
363 Guizhou	137.23 86.77 137.23
364 Aridoamerica	121.51 76.91 121.51
365 Texas	329.60 209.03 322.61
366 Pakistan_India_Bangladesh	85.38 55.22 85.38
367 Sichuan	178.47 114.38 178.47
368 Saudi_Arabia	378.47 242.56 362.36
369 Iran	638.04 406.23 612.36
370 Pakistan_India_Bangladesh	215.99 138.04 215.99
371 Aridoamerica	75.23 47.33 70.18
372 Pakistan_India_Bangladesh	72.32 45.36 72.32
373 Fujian	91.66 59.16 82.90
374 Libya	368.38 234.67 368.38
375 Saudi_Arabia	388.74 246.50 388.28
376 Pakistan_India_Bangladesh	153.88 98.60 149.32
377 Burma	83.27 53.24 83.27
378 Yunnan	100.59 63.10 100.59
379 Guangdong	81.37 51.27 81.37
380 Aridoamerica	103.98 67.05 103.98
381 Libya	331.18 211.00 331.18
382 Pakistan_India_Bangladesh	103.34 65.08 103.26
383 Pakistan_India_Bangladesh	212.18 136.07 212.18
384 Aridoamerica	59.20 37.47 59.20
385 Algeria	1416.95 905.15 1416.95
386 Morocco	382.92 244.53 373.28
387 Pakistan_India_Bangladesh	76.16 49.30 76.16
388 Pakistan_India_Bangladesh	139.33 88.74 133.29
389 Pakistan_India_Bangladesh	122.72 78.88 114.15
390 Pakistan_India_Bangladesh	825.69 526.52 815.72
391 Yunnan	382.79 244.53 382.79
392 Guangxi	206.02 132.12 189.63
393 Aridoamerica	74.12 47.33 74.12
394 Algeria	923.20 587.66 923.20
395 Pakistan_India_Bangladesh	315.88 201.14 314.76
396 Guangdong	91.17 59.16 81.46
397 Morocco	195.62 124.24 185.95
398 Central_Mexico	135.48 86.77 131.76
399 Sahel_States	481.77 307.63 481.77
400 Saudi_Arabia	394.92 250.44 391.02
401 Caribbean	118.03 74.94 94.62
402 Sudan	795.21 506.80 794.26
403 Saudi_Arabia	999.53 634.98 975.61
404 Burma	158.28 100.57 147.93
405 Burma	461.09 293.83 461.09
406 Caribbean	90.83 57.19 68.86
407 Sahel_States	111.36 70.99 111.36
408 Sahel_States	275.84 175.51 275.84
409 Sahel_States	140.88 90.71 140.07
410 Pakistan_India_Bangladesh	73.48 47.33 67.22
411 Central_Mexico	561.41 356.93 530.74
412 Mayan_America	205.13 130.15 191.79
413 Sahel_States	168.01 106.49 168.01
414 Sahel_States	522.14 333.27 522.14
415 Thailand	100.05 63.10 100.05
416 Sahel_States	144.33 92.68 144.33
417 Pakistan_India_Bangladesh	100.16 63.10 95.88
418 Sahel_States	210.87 134.10 208.48
419 Mayan_America	152.02 96.63 138.10
420 Sudan	169.04 108.46 169.04
421 Yemen	118.81 76.91 112.03
422 Pakistan_India_Bangladesh	101.29 65.08 101.29
423 Pakistan_India_Bangladesh	232.67 147.90 231.84
424 Sahel_States	173.14 110.43 173.14
425 Sudan	386.90 246.50 378.30
426 Philippines	143.36 90.71 109.11
427 Sahel_States	107.49 69.02 107.49
428 Sahel_States	662.98 422.01 662.98
429 Yemen	131.72 84.80 127.79
430 Yemen	113.06 72.96 104.52
431 Burma	155.89 98.60 139.48
432 Central_America	68.83 43.38 64.61
433 Ethiopia	71.91 45.36 67.25
434 Central_America	66.06 41.41 58.58
435 West_Africa	86.97 55.22 83.98
436 Sudan	236.68 151.84 234.20
437 Pakistan_India_Bangladesh	62.83 39.44 60.00
438 Thailand	232.93 147.90 232.09
439 Sahel_States	183.45 116.35 183.45
440 Sahel_States	243.55 155.79 243.55
441 Central_America	120.56 76.91 110.98
442 Sahel_States	72.24 45.36 72.24
443 Sahel_States	69.19 43.38 69.19
444 Sahel_States	135.54 86.77 135.54
445 Sudan	114.49 72.96 114.49
446 Ethiopia	135.96 86.77 135.96
447 Pakistan_India_Bangladesh	114.58 72.96 111.81
448 Sudan	93.68 59.16 93.68
449 Ethiopia	75.46 49.30 65.23
450 West_Africa	90.72 57.19 90.72
451 Sahel_States	366.98 234.67 366.98
452 Cambodia	72.63 47.33 67.92
453 West_Africa	169.89 108.46 169.89
454 Ethiopia	78.92 51.27 78.92
455 Pakistan_India_Bangladesh	94.15 61.13 88.41
456 Sudan	240.30 153.82 240.30
457 Ethiopia	79.01 51.27 79.01
458 West_Africa	75.95 49.30 74.44
459 West_Africa	143.16 90.71 143.16
460 West_Africa	115.32 72.96 115.32
461 Vietnam	566.17 360.88 541.76
462 West_Africa	487.88 311.58 478.45
463 Sahel_States	283.37 181.42 283.37
464 Ethiopia	67.09 43.38 67.09
465 Pakistan_India_Bangladesh	82.25 53.24 73.78
466 Philippines	69.99 45.36 45.46
467 Northern_South_America	106.92 69.02 104.38
468 Equatoria_Zaire_Angola	79.47 51.27 79.47
469 Northern_South_America	199.02 128.18 189.20
470 West_Africa	293.67 187.34 291.96
471 Ethiopia	73.41 47.33 73.41
472 Northern_South_America	216.64 138.04 199.33
473 West_Africa	235.63 149.87 235.63
474 Sahel_States	82.74 53.24 82.74
475 Sudan	137.74 88.74 137.74
476 Ethiopia	85.78 55.22 85.78
477 Somalia	311.75 199.17 294.38
478 Central_America	134.35 86.77 109.21
479 Northern_South_America	76.74 49.30 76.74
480 West_Africa	315.95 201.14 303.09
481 Sudan	220.59 141.98 220.59
482 Ethiopia	64.42 41.41 64.42
483 Philippines	107.46 69.02 88.78
484 Andes	313.94 201.14 294.28
485 West_Africa	227.42 145.93 221.60
486 Ethiopia	196.65 126.21 196.65
487 Sri_Lanka	70.62 45.36 61.33
488 Amazon	73.80 47.33 73.80
489 West_Africa	70.77 45.36 70.77
490 Amazon	64.67 41.41 64.67
491 Equatoria_Zaire_Angola	172.43 110.43 172.43
492 Equatoria_Zaire_Angola	498.97 317.49 498.97
493 Sudan	212.83 136.07 212.83
494 Ethiopia	73.85 47.33 73.85
495 Amazon	172.55 110.43 172.55
496 Malaysia_Singapore	206.57 132.12 181.06
497 Equatoria_Zaire_Angola	228.53 145.93 219.43
498 Somalia	117.16 74.94 112.78
499 Amazon	210.08 134.10 210.08
500 Ethiopia	111.07 70.99 111.07
501 Indonesia	80.33 51.27 67.12
502 Amazon	274.61 175.51 270.34
503 Andes	129.87 82.82 129.87
504 Equatoria_Zaire_Angola	290.33 185.37 290.33
505 Equatoria_Zaire_Angola	225.78 143.96 225.78
506 Kenya	269.18 171.56 267.11
507 Somalia	148.49 94.66 138.43
508 Amazon	235.12 149.87 219.83
509 Equatoria_Zaire_Angola	170.30 108.46 170.30
510 Uganda	389.60 248.47 389.60
511 Amazon	170.32 108.46 170.32
512 Kenya	222.75 141.98 222.75
513 Indonesia	426.85 272.14 398.88
514 Indonesia	399.22 254.39 362.96
515 Amazon	1799.78 1147.70 1799.78
516 Equatoria_Zaire_Angola	588.32 374.68 581.52
517 Amazon	331.33 211.00 329.78
518 Amazon	414.80 264.25 414.80
519 Equatoria_Zaire_Angola	225.98 143.96 225.98
520 Indonesia	343.69 218.89 322.38
521 Kenya	154.79 98.60 149.98
522 Indonesia	114.51 72.96 93.61
523 Indonesia	86.63 55.22 66.17
524 Equatoria_Zaire_Angola	421.04 268.19 421.04
525 Amazon	312.48 199.17 295.97
526 Tanzania	222.76 141.98 222.76
527 Melanesia	95.96 61.13 78.59
528 Andes	126.83 80.85 118.83
529 Equatoria_Zaire_Angola	247.33 157.76 247.33
530 Melanesia	419.72 268.19 401.80
531 Melanesia	61.75 39.44 55.32
532 Amazon	64.80 41.41 64.80
533 Tanzania	80.26 51.27 80.26
534 North_coast_Brazil	371.72 238.61 366.23
535 Equatoria_Zaire_Angola	228.21 145.93 227.18
536 Andes	92.32 59.16 82.65
537 NE_Brazil	196.86 126.21 196.86
538 Equatoria_Zaire_Angola	277.05 177.48 277.05
539 Tanzania	148.04 94.66 148.04
540 Amazon	193.84 124.24 193.84
541 Indonesia	73.79 47.33 61.41
542 Amazon	297.43 191.28 297.43
543 North_coast_Brazil	98.24 63.10 97.13
544 Equatoria_Zaire_Angola	522.72 335.24 522.72
545 Indonesia	79.82 51.27 61.23
546 Melanesia	178.15 114.38 164.27
547 Andes	104.41 67.05 104.41
548 Amazon	503.83 321.44 503.83
549 Equatoria_Zaire_Angola	131.99 84.80 131.99
550 Central_Brazil	919.68 587.66 913.92
551 North_coast_Brazil	61.21 39.44 61.21
552 Melanesia	73.39 47.33 61.94
553 North_coast_Brazil	82.51 53.24 82.51
554 Amazon	471.91 301.72 471.91
555 Amazon	158.41 102.54 158.41
556 Amazon	60.82 39.44 60.82
557 Equatoria_Zaire_Angola	657.31 420.04 646.67
558 Amazon	146.01 94.66 146.01
559 Equatoria_Zaire_Angola	127.75 82.82 127.75
560 Tanzania	475.01 303.69 460.68
561 Amazon	163.89 106.49 163.89
562 Amazon	157.38 102.54 157.38
563 South_Central_Africa	717.76 459.48 716.19
564 Andes	123.98 80.85 123.98
565 Amazon	276.39 177.48 276.39
566 North_coast_Brazil	160.19 104.52 160.19
567 Australia	223.14 143.96 197.75
568 Amazon	143.99 92.68 143.99
569 South_Central_Africa	147.20 94.66 147.20
570 Madagascar	75.03 49.30 63.36
571 Andes	78.30 51.27 66.16
572 Equatoria_Zaire_Angola	146.70 94.66 146.70
573 Australia	138.18 88.74 120.63
574 Andes	104.70 69.02 104.70
575 Andes	71.64 47.33 71.64
576 Andes	108.25 70.99 108.25
577 Australia	59.72 39.44 53.73
578 Central_coast_Brazil	146.00 94.66 146.00
579 Equatoria_Zaire_Angola	74.44 49.30 74.44
580 Australia	98.25 65.08 95.83
581 Equatoria_Zaire_Angola	115.66 74.94 115.66
582 South_Central_Africa	380.07 244.53 380.07
583 Madagascar	95.22 63.10 90.74
584 Equatoria_Zaire_Angola	169.15 110.43 164.95
585 Australia	124.92 80.85 124.83
586 Australia	236.44 151.84 227.59
587 Australia	177.03 114.38 173.60
588 Mozambique	83.13 55.22 77.56
589 Australia	70.89 47.33 61.92
590 Madagascar	79.55 53.24 77.98
591 Australia	65.00 43.38 65.00
592 SW_Africa_Botswana	161.55 104.52 161.55
593 South_Central_Africa	64.64 43.38 64.64
594 Mozambique	114.34 74.94 110.69
595 Madagascar	73.39 49.30 69.57
596 South_Central_Africa	108.28 70.99 108.28
597 Australia	474.69 305.66 474.69
598 Andes	93.62 61.13 93.62
599 Central_Brazil	159.88 104.52 159.88
600 North_coast_Brazil	392.90 252.42 371.00
601 SW_Africa_Botswana	296.69 191.28 296.69
602 Madagascar	61.04 41.41 55.99
603 Australia	247.44 159.73 245.00
604 Australia	84.26 55.22 84.26
605 Madagascar	106.04 69.02 102.06
606 Australia	75.15 49.30 75.15
607 Andes	69.85 47.33 69.85
608 Australia	69.25 47.33 69.25
609 Australia	229.91 147.90 223.15
610 Australia	160.56 104.52 160.56
611 Australia	201.62 130.15 201.62
612 Central_coast_Brazil	1902.76 1216.72 1896.63
613 Andes	248.86 161.70 230.04
614 Argentina_lowland	913.89 585.68 913.89
615 SW_Africa_Botswana	200.51 130.15 200.51
616 Mozambique	278.13 179.45 267.82
617 Australia	131.60 86.77 120.26
618 SW_Africa_Botswana	347.83 224.81 347.83
619 SW_Africa_Botswana	278.33 179.45 278.33
620 Andes	152.29 98.60 152.29
621 Madagascar	125.43 82.82 118.63
622 Australia	259.48 167.62 259.48
623 Australia	73.14 49.30 73.14
624 Southern_Africa	133.89 88.74 133.89
625 South_coast_Brazil	299.09 193.26 299.09
626 Australia	809.24 518.64 796.66
627 Australia	204.18 132.12 204.18
628 Australia	109.63 72.96 109.63
629 Southern_Africa	128.24 84.80 128.24
630 Australia	685.33 439.76 680.24
631 Australia	348.19 224.81 348.19
632 Australia	197.95 128.18 193.24
633 Southern_Africa	769.30 493.00 743.29
634 Argentina_lowland	76.04 51.27 76.04
635 Australia	353.07 228.75 353.07
636 Australia	122.57 80.85 122.57
637 Andes	120.72 78.88 120.72
638 Southern_Africa	138.42 90.71 135.01
639 Andes	70.85 47.33 70.85
640 Australia	250.31 161.70 247.32
641 Andes	61.78 41.41 61.78
642 South_coast_Brazil	256.86 165.65 242.04
643 Southern_Africa	71.91 49.30 71.91
644 Argentina_lowland	156.55 102.54 156.55
645 Australia	297.00 193.26 297.00
646 Uruguay	122.81 80.85 122.81
647 Andes	73.80 49.30 73.80
648 Australia	84.43 57.19 84.43
649 Southern_Africa	88.62 59.16 82.31
650 Australia	114.49 76.91 111.63
651 Australia	114.69 76.91 105.53
652 Australia	68.44 47.33 61.65
653 Argentina_lowland	106.68 70.99 102.19
654 Australia	211.64 138.04 211.64
655 Argentina_lowland	132.54 86.77 127.72
656 Australia	88.01 59.16 80.43
657 Australia	133.22 88.74 127.20
658 Uruguay	113.67 74.94 106.02
659 Southern_Africa	67.01 45.36 61.91
660 Australia	167.08 110.43 167.08
661 Andes	66.42 45.36 63.38
662 Argentina_lowland	68.72 47.33 68.72
663 Argentina_lowland	93.78 63.10 93.78
664 Argentina_lowland	137.76 90.71 137.76
665 Australia	93.37 63.10 80.81
666 Argentina_lowland	147.78 98.60 143.35
667 New_Zealand	86.08 59.16 65.12
668 Australia	100.31 67.05 88.34
669 Andes	72.22 49.30 66.98
670 Argentina_lowland	87.44 59.16 87.44
671 Argentina_lowland	150.05 98.60 149.14
672 Argentina_lowland	59.87 41.41 58.83
673 Argentina_lowland	74.98 51.27 69.45
674 New_Zealand	100.47 67.05 79.15
675 Argentina_lowland	85.07 57.19 75.29
676 Australia	80.69 55.22 63.39
677 Argentina_lowland	78.84 53.24 78.84
678 Argentina_lowland	122.18 82.82 109.86
679 Argentina_lowland	107.98 72.96 102.51
680 Andes	174.53 114.38 148.87
681 New_Zealand	125.53 84.80 111.37
682 Argentina_lowland	96.03 65.08 87.84
683 Argentina_lowland	75.63 53.24 69.87
684 Andes	148.24 98.60 115.07
685 Andes	72.11 51.27 50.88